data;hora_utc;precipitacao_total;pressao_atmosferica_estacao_mB;pressao_atmosferica_max_hora_ant_mB;pressao_atmosferica_min_hora_ant_mB;radiacao_global;temperatura_do_ar;temperatura_ponto_orvalho;temperatura_max_hora_ant;temperatura_min_hora_ant;temperatura_orvalho_max_hora_ant;temperatura_orvalho_min_hora_ant;UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;951,4;951,5;951,3;;23,5;21,1;24,1;23,5;21,3;20,7;86;82;86;179;10,4;5,2;
2022/01/01;0100 UTC;0;951,3;951,5;951,2;;22,9;21,3;23,5;22,8;21,3;20,9;90;86;90;184;9,1;3,7;
2022/01/01;0200 UTC;0;951,3;951,4;951,2;;22,6;21,3;23;22,6;21,3;21,1;92;90;92;180;7,6;3,9;
2022/01/01;0300 UTC;0;950,5;951,3;950,5;;22,4;21,4;22,6;22,4;21,5;21,3;94;92;94;174;7,7;4;
2022/01/01;0400 UTC;0;950;950,5;949,9;;22,4;21,5;22,5;22,3;21,5;21,4;95;94;95;174;8,1;4,1;
2022/01/01;0500 UTC;0;949,8;950,1;949,8;;22,3;21,5;22,4;22,3;21,6;21,4;95;95;95;152;7,9;4,3;
2022/01/01;0600 UTC;0;949,9;950;949,8;;22,3;21,5;22,4;22,2;21,5;21,4;95;95;95;169;7,9;3,6;
2022/01/01;0700 UTC;0;950,3;950,4;949,8;;22,3;21,5;22,4;22,3;21,6;21,4;95;95;95;188;8,6;3,8;
2022/01/01;0800 UTC;,2;951,2;951,2;950,3;8;21,9;21,4;22,4;21,9;21,6;21,3;97;95;97;177;8,6;3,9;
2022/01/01;0900 UTC;0;951,7;951,8;951,2;399,3;22,7;21,9;22,8;21,8;22,2;21,3;97;95;96;194;7,8;4;
2022/01/01;1000 UTC;0;952,2;952,2;951,7;937,7;23,7;21,7;23,7;22,6;22,1;21,4;96;88;88;182;8,4;3,8;
2022/01/01;1100 UTC;0;952,7;952,7;952,2;1551,6;24,6;20,3;24,9;23,4;21,6;19,9;88;76;77;196;8,3;5,2;
2022/01/01;1200 UTC;0;952,5;952,7;952,5;2379,7;26,5;20,4;26,7;24,5;21,3;20,1;77;69;69;191;8,3;3,9;
2022/01/01;1300 UTC;0;951,8;952,5;951,8;2221,9;27,5;18,8;27,9;25,9;21,1;18,5;71;58;59;176;8,6;4,6;
2022/01/01;1400 UTC;0;951,2;951,8;951,2;3255,7;29;19,1;29,4;27,4;19,6;18,2;59;54;55;180;8,8;4,3;
2022/01/01;1500 UTC;0;950,5;951,2;950,5;2387,7;29,1;19,2;29,5;28,4;19,3;18;56;52;55;186;9,2;4,2;
2022/01/01;1600 UTC;0;949,8;950,5;949,7;2836,6;29,9;18,8;30,7;28,7;19,5;18,2;55;50;51;188;10,1;4,7;
2022/01/01;1700 UTC;0;949,2;949,8;949,2;2446,8;29,9;18,9;30,9;29,1;19,1;17,8;52;48;52;184;10,1;4;
2022/01/01;1800 UTC;0;949;949,2;949;1955,6;29,6;18,6;30,3;29,3;18,8;17,9;52;49;52;176;8,5;4,6;
2022/01/01;1900 UTC;0;949;949;948,9;911,3;28;18,7;29,6;27,9;19,2;18,3;57;51;57;196;9,4;5,1;
2022/01/01;2000 UTC;0;949,5;949,5;949;253,5;26,3;19,8;28,1;26,3;19,8;18,5;68;57;68;202;10,6;6,1;
2022/01/01;2100 UTC;0;950,2;950,2;949,5;2,2;25,2;19,9;26,4;25,2;20,1;19,7;73;67;73;189;9,8;5;
2022/01/01;2200 UTC;0;951,2;951,2;950,2;;24,2;20;25,2;24,2;20;19,6;77;72;77;187;10,6;4,8;
2022/01/01;2300 UTC;0;952,1;952,1;951,2;;23,6;20,2;24,2;23,6;20,3;20;82;77;82;176;9,2;3,6;
2022/01/02;0000 UTC;0;952,5;952,6;952,1;;23;20,6;23,6;23;20,6;19,9;87;81;87;204;8,4;5;
2022/01/02;0100 UTC;0;952,1;952,6;952,1;;22,7;21,1;23;22,7;21,1;20,7;91;87;91;199;9,5;5,3;
2022/01/02;0200 UTC;0;951,9;952,2;951,9;;22,5;21,4;22,7;22,5;21,4;21,1;93;91;93;192;9,7;4,4;
2022/01/02;0300 UTC;0;951,4;951,9;951,4;;22,3;21,4;22,6;22,3;21,5;21,3;95;93;95;185;8,2;4,4;
2022/01/02;0400 UTC;0;951;951,4;950,9;;22,2;21,5;22,4;22,2;21,5;21,4;96;95;96;193;8;3,9;
2022/01/02;0500 UTC;0;950,9;951;950,8;;22,2;21,6;22,3;22,1;21,6;21,4;96;96;96;189;8;3,3;
2022/01/02;0600 UTC;0;950,8;950,9;950,7;;22,2;21,5;22,4;22,2;21,7;21,5;96;96;96;186;8,5;3,3;
2022/01/02;0700 UTC;0;950,9;950,9;950,8;;22,1;21,5;22,2;22,1;21,6;21,4;97;96;97;187;6,9;2,8;
2022/01/02;0800 UTC;0;951,5;951,5;950,9;11,2;22;21,4;22,1;21,9;21,5;21,4;97;96;97;176;6,3;2,4;
2022/01/02;0900 UTC;0;952,3;952,3;951,5;400,9;22,7;21,9;22,8;22;22;21,4;97;95;95;181;4,9;1,6;
2022/01/02;1000 UTC;,2;952,8;952,8;952,3;442,5;22,6;21,7;23,2;22,5;22,2;21,5;95;93;94;180;5,5;3;
2022/01/02;1100 UTC;,6;953,2;953,3;952,8;1651,4;24,9;22;25,3;22,6;23,2;21,8;95;84;84;176;6,9;3,5;
2022/01/02;1200 UTC;,2;953,1;953,3;953,1;2691,1;27,1;21,4;27,2;24,5;22,4;21;84;71;71;185;7,5;4,3;
2022/01/02;1300 UTC;0;952,4;953,1;952,4;3305,7;28,8;20,2;29;27,1;22;19,6;71;58;60;186;8,4;3,9;
2022/01/02;1400 UTC;0;951,6;952,4;951,5;3397,4;29,7;19,5;30,7;28,2;21,2;19,2;62;54;54;174;8,4;3,5;
2022/01/02;1500 UTC;0;950,8;951,6;950,8;3141,5;29,8;18,7;31,1;29,6;20,2;18,5;55;51;51;180;8,3;3,2;
2022/01/02;1600 UTC;0;949,8;950,8;949,8;2861,5;31,1;19,7;31,8;29,5;19,7;18,4;53;47;51;180;8,8;3,9;
2022/01/02;1700 UTC;0;949;949,8;949;2654,3;31,1;18,9;32,1;30,5;19,7;18,1;51;45;48;155;10;4,3;
2022/01/02;1800 UTC;0;948,8;949;948,8;2200,1;30;19,6;31,6;30;19,9;18,8;54;48;54;184;10;5,5;
2022/01/02;1900 UTC;0;949;949;948,6;1068,3;28,5;20;30,1;28,5;20,3;19,6;60;54;60;187;11,6;6,6;
2022/01/02;2000 UTC;0;949,5;949,5;948,9;476,7;27,5;20,2;28,5;27,5;20,4;19,9;65;60;65;179;11,8;5,3;
2022/01/02;2100 UTC;0;950,5;950,5;949,4;10,2;25,6;20,5;27,5;25,6;20,6;20,2;74;65;74;187;11,1;6;
2022/01/02;2200 UTC;0;951,6;951,6;950,5;;24,6;20,4;25,6;24,6;20,7;20,4;78;74;78;189;11,1;5;
2022/01/02;2300 UTC;0;952;952,1;951,6;;23,9;21;24,6;23,8;21;20,4;84;78;84;188;10,1;5,3;
2022/01/03;0000 UTC;0;952,8;952,8;952;;23,5;21,5;23,9;23,5;21,5;21;88;84;88;183;9;4,4;
2022/01/03;0100 UTC;0;952;952,7;952;;23;21,3;23,5;23;21,5;21,3;91;88;90;170;9;5,4;
