Nome;Data;potencia_total;P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
PowLatec;06/02/2022, 0:00:00;1540,1743595041323;0;0;1540,1743595041323;0;0;0;0;1;1;1;1;0;0;218,6426652892562;0;0;7,366095041322314
PowLatec;06/02/2022, 1:00:00;1549,637313432836;0;0;1549,637313432836;0;0;0;0;1;1;1;1;0;0;217,94102345415777;0;0;7,4242857142857135
PowLatec;06/02/2022, 2:00:00;1552,6538492871691;0;0;1552,6538492871691;0;0;0;0;1;1;1;1;0;0;218,38030549898167;0;0;7,4916904276985745
PowLatec;06/02/2022, 3:00:00;1471,6250797266514;0;0;1471,6250797266514;0;0;0;0;1;1;1;1;0;0;218,5219589977221;0;0;7,026742596810934
PowLatec;06/02/2022, 4:00:00;1483,2469642857143;0;0;1483,2469642857143;0;0;0;0;1;1;1;1;0;0;218,1354017857143;0;0;7,076874999999999
PowLatec;06/02/2022, 5:00:00;1429,0525952380951;0;0;1429,0525952380951;0;0;0;0;1;1;1;1;0;0;218,65257142857143;0;0;6,9274523809523805
PowLatec;06/02/2022, 6:00:00;1485,678123569794;0;0;1485,678123569794;0;0;0;0;1;1;1;1;0;0;218,0284210526316;0;0;7,147505720823799
PowLatec;06/02/2022, 7:00:00;1489,5957882882883;0;0;1489,5957882882883;0;0;0;0;1;1;1;1;0;0;219,745;0;0;7,05804054054054
PowLatec;06/02/2022, 8:00:00;1556,4185;0;0;1556,4185;0;0;0;0;1;1;1;1;0;0;217,56832608695652;0;0;7,524521739130434
PowLatec;06/02/2022, 9:00:00;1743,919960552268;0;0;1743,919960552268;0;0;0;0;1;1;1;1;0;0;216,47001972386587;0;0;8,340433925049311
PowLatec;06/02/2022, 10:00:00;1687,0878799999998;0;0;1687,0878799999998;0;0;0;0;1;1;1;1;0;0;215,49035999999998;0;0;8,155899999999999
PowLatec;06/02/2022, 11:00:00;1910,964040066778;0;0;1910,964040066778;0;0;0;0;1;1;1;1;0;0;214,31711185308848;0;0;9,253756260434058
